Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1AS_R1_001	15.462600623901437	48.0	150.0	150	9.090909090909092	49260255.0
1AS_R2_001	16.667332620091727	49.0	150.0	150	27.27272727272727	49260255.0
1AW_R1_001	16.141398208579233	46.0	150.0	150	9.090909090909092	64895869.0
1AW_R2_001	17.15632319279898	46.0	150.0	150	18.181818181818183	64895869.0
1BS_R1_001	15.558042361697005	45.0	150.0	150	9.090909090909092	55107846.0
1BS_R2_001	16.588535462049165	45.0	150.0	150	18.181818181818183	55107846.0
1BW_R1_001	16.403709995644604	45.0	150.0	150	9.090909090909092	56903707.0
1BW_R2_001	17.31647400246476	46.0	150.0	150	18.181818181818183	56903707.0
1CS_R1_001	15.246310699427966	46.0	150.0	150	9.090909090909092	57573776.0
1CS_R2_001	16.361247550395944	47.0	150.0	150	18.181818181818183	57573776.0
1CW_R1_001	15.949889113758346	47.0	150.0	150	9.090909090909092	50257014.0
1CW_R2_001	16.960658377056163	48.0	150.0	150	18.181818181818183	50257014.0
1DS_R1_001	14.483016823809976	47.0	150.0	150	9.090909090909092	50195192.0
1DS_R2_001	15.540782322377126	48.0	150.0	150	18.181818181818183	50195192.0
1DW_R1_001	16.946012294228268	46.0	150.0	150	9.090909090909092	59963812.0
1DW_R2_001	18.043783590723024	47.0	150.0	150	18.181818181818183	59963812.0
2AS_R1_001	14.900462881436368	49.0	150.0	150	9.090909090909092	56459948.0
2AS_R2_001	15.972261471147533	50.0	150.0	150	27.27272727272727	56459948.0
2AW_R1_001	15.349873172998201	47.0	150.0	150	9.090909090909092	60648670.0
2AW_R2_001	16.40159375660916	47.0	150.0	150	18.181818181818183	60648670.0
2BS_R1_001	15.031750334951099	45.0	150.0	150	9.090909090909092	51335985.0
2BS_R2_001	16.045680243011333	46.0	150.0	150	18.181818181818183	51335985.0
2BW_R1_001	14.41078944201783	47.0	150.0	150	9.090909090909092	44852582.0
2BW_R2_001	15.551116752459706	47.0	150.0	150	18.181818181818183	44852582.0
2CS_R1_001	16.429029147333807	45.0	150.0	150	9.090909090909092	55565888.0
2CS_R2_001	17.55870953253718	46.0	150.0	150	18.181818181818183	55565888.0
2CW_R1_001	15.428609804360164	47.0	150.0	150	9.090909090909092	62244800.0
2CW_R2_001	16.481274959541082	48.0	150.0	150	18.181818181818183	62244800.0
2DS_R1_001	16.629038718777537	45.0	150.0	150	9.090909090909092	55538755.0
2DS_R2_001	17.506514511441267	46.0	150.0	150	18.181818181818183	55538755.0
2DW_R1_001	15.487140258858219	46.0	150.0	150	9.090909090909092	56896224.0
2DW_R2_001	16.517891317172158	47.0	150.0	150	18.181818181818183	56896224.0
3AS_R1_001	14.871487684713387	47.0	150.0	150	9.090909090909092	57175714.0
3AS_R2_001	16.008737579365643	47.0	150.0	150	18.181818181818183	57175714.0
3AW_R1_001	15.570355186882509	47.0	150.0	150	9.090909090909092	56911890.0
3AW_R2_001	16.64279500992116	47.0	150.0	150	18.181818181818183	56911890.0
3BS_R1_001	15.101401115565409	47.0	150.0	150	9.090909090909092	54240957.0
3BS_R2_001	16.139678258454225	48.0	150.0	150	18.181818181818183	54240957.0
3BW_R1_001	17.02218521625207	45.0	150.0	150	9.090909090909092	56229134.0
3BW_R2_001	18.12111790069133	46.0	150.0	150	18.181818181818183	56229134.0
3CS_R1_001	16.618562306631233	46.0	150.0	150	9.090909090909092	58507664.0
3CS_R2_001	17.508151228537926	46.0	150.0	150	18.181818181818183	58507664.0
3CW_R1_001	16.673587488319626	46.0	150.0	150	9.090909090909092	65447659.0
3CW_R2_001	17.92481504017131	47.0	150.0	150	18.181818181818183	65447659.0
3DS_R1_001	15.736905133801315	46.0	150.0	150	9.090909090909092	57830455.0
3DS_R2_001	16.62275597131648	47.0	150.0	150	18.181818181818183	57830455.0
3DW_R1_001	18.533035889720708	45.0	150.0	150	9.090909090909092	80895491.0
3DW_R2_001	19.463365186961767	45.0	150.0	150	18.181818181818183	80895491.0
